2011-11-01:16:45:26|fancybox/fancy_shadow_n.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:27|fancybox/fancy_shadow_ne.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:27|fancybox/fancy_shadow_e.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:27|fancybox/fancy_shadow_se.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:27|fancybox/fancy_shadow_s.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:28|fancybox/fancy_shadow_sw.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:28|fancybox/fancy_shadow_w.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:45:29|fancybox/fancy_shadow_nw.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:37|fancybox/fancy_shadow_n.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:37|fancybox/fancy_shadow_ne.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:37|fancybox/fancy_shadow_e.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:38|fancybox/fancy_shadow_se.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:39|fancybox/fancy_shadow_s.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:39|fancybox/fancy_shadow_sw.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:40|fancybox/fancy_shadow_w.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:49:40|fancybox/fancy_shadow_nw.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:50:18|fancybox/fancy_shadow_n.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:50:18|fancybox/fancy_shadow_ne.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:50:19|fancybox/fancy_shadow_e.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
2011-11-01:16:50:19|fancybox/fancy_shadow_se.png||174.143.11.222|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0) chromeframe/5.0.317.0
